name,city,iata,icao,lat,lng
Fort McMurray Airport,Fort Mcmurray,YMM,CYMM,56.6533,-111.222
Moosonee Airport,Moosonee,YMO,CYMO,51.2911,-80.6078
Maniwaki Airport,Maniwaki,YMW,CYMW,46.2728,-75.9906
Montreal International (Mirabel) Airport,Montreal,YMX,CYMX,45.6795,-74.0387
Natashquan Airport,Natashquan,YNA,CYNA,50.19,-61.7892
Ottawa / Gatineau Airport,Gatineau,YND,CYND,45.5217,-75.5636
Matagami Airport,Matagami,YNM,CYNM,49.7617,-77.8028
Old Crow Airport,Old Crow,YOC,CYOC,67.5706,-139.839
CFB Cold Lake,Cold Lake,YOD,CYOD,54.405,-110.279
High Level Airport,High Level,YOJ,CYOJ,58.6214,-117.165
Ottawa Macdonald-Cartier International Airport,Ottawa,YOW,CYOW,45.3225,-75.6692
Prince Albert Glass Field,Prince Albert,YPA,CYPA,53.2142,-105.673
Peace River Airport,Peace River,YPE,CYPE,56.2269,-117.447
Southport Airport,Portage-la-prairie,YPG,CYPG,49.9031,-98.2738
Pitt Meadows Airport,Pitt Meadows,,CYPK,49.2161,-122.71
Pickle Lake Airport,Pickle Lake,YPL,CYPL,51.4464,-90.2142
Port Menier Airport,Port Menier,YPN,CYPN,49.8364,-64.2886
Peterborough Airport,Peterborough,YPQ,CYPQ,44.23,-78.3633
Prince Rupert Airport,Prince Pupert,YPR,CYPR,54.2861,-130.445
Fort Chipewyan Airport,Fort Chipewyan,YPY,CYPY,58.7672,-111.117
Muskoka Airport,Muskoka,YQA,CYQA,44.9747,-79.3033
Quebec Jean Lesage International Airport,Quebec,YQB,CYQB,46.7911,-71.3933
Red Deer Regional Airport,Red Deer Industrial,YQF,CYQF,52.1822,-113.894
Windsor Airport,Windsor,YQG,CYQG,42.2756,-82.9556
Watson Lake Airport,Watson Lake,YQH,CYQH,60.1164,-128.822
Kenora Airport,Kenora,YQK,CYQK,49.7883,-94.3631
Lethbridge County Airport,Lethbridge,YQL,CYQL,49.6303,-112.8
Greater Moncton International Airport,Moncton,YQM,CYQM,46.1122,-64.6786
Comox Airport,Comox,YQQ,CYQQ,49.7108,-124.887
Regina International Airport,Regina,YQR,CYQR,50.4319,-104.666
Thunder Bay Airport,Thunder Bay,YQT,CYQT,48.3719,-89.3239
Grande Prairie Airport,Grande Prairie,YQU,CYQU,55.1797,-118.885
Yorkton Municipal Airport,Yorkton,YQV,CYQV,51.2647,-102.462
North Battleford Airport,North Battleford,YQW,CYQW,52.7692,-108.244
Gander International Airport,Gander,YQX,CYQX,48.9369,-54.5681
Sydney / J.A. Douglas McCurdy Airport,Sydney,YQY,CYQY,46.1614,-60.0478
Quesnel Airport,Quesnel,YQZ,CYQZ,53.0261,-122.51
Resolute Bay Airport,Resolute,YRB,CYRB,74.7169,-94.9694
Rivière-du-Loup Airport,Riviere Du Loup,YRI,CYRI,47.7644,-69.5847
Roberval Airport,Roberval,YRJ,CYRJ,48.52,-72.2656
Rocky Mountain House Airport,Rocky Mountain House,YRM,CYRM,52.4297,-114.904
Rankin Inlet Airport,Rankin Inlet,YRT,CYRT,62.8114,-92.1158
Sudbury Airport,Sudbury,YSB,CYSB,46.625,-80.7989
Sherbrooke Airport,Sherbrooke,YSC,CYSC,45.4386,-71.6914
Saint John Airport,St. John,YSJ,CYSJ,45.3161,-65.8903
Fort Smith Airport,Fort Smith,YSM,CYSM,60.0203,-111.962
Nanisivik Airport,Nanisivik,YSR,CYSR,72.9822,-84.6136
Summerside Airport,Summerside,YSU,CYSU,46.4406,-63.8336
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,YSY,CYSY,71.9939,-125.243
Cape Dorset Airport,Cape Dorset,YTE,CYTE,64.23,-76.5267
Thompson Airport,Thompson,YTH,CYTH,55.8011,-97.8642
CFB Trenton,Trenton,YTR,CYTR,44.1189,-77.5281
Timmins/Victor M. Power,Timmins,YTS,CYTS,48.5697,-81.3767
Billy Bishop Toronto City Centre Airport,Toronto,YTZ,CYTZ,43.6275,-79.3962
Tuktoyaktuk Airport,Tuktoyaktuk,YUB,CYUB,69.4333,-133.026
Montreal / Pierre Elliott Trudeau International Airport,Montreal,YUL,CYUL,45.4706,-73.7408
Repulse Bay Airport,Repulse Bay,YUT,CYUT,66.5214,-86.2247
Hall Beach Airport,Hall Beach,YUX,CYUX,68.7761,-81.2425
Rouyn Noranda Airport,Rouyn,YUY,CYUY,48.2061,-78.8356
La Ronge Airport,La Ronge,YVC,CYVC,55.1514,-105.262
Vermilion Airport,Vermillion,YVG,CYVG,53.3558,-110.824
Qikiqtarjuaq Airport,Broughton Island,YVM,CYVM,67.5458,-64.0314
Val-d'Or Airport,Val D'or,YVO,CYVO,48.0533,-77.7828
Kuujjuaq Airport,Quujjuaq,YVP,CYVP,58.0961,-68.4269
Norman Wells Airport,Norman Wells,YVQ,CYVQ,65.2816,-126.798
Vancouver International Airport,Vancouver,YVR,CYVR,49.1939,-123.184
Buffalo Narrows Airport,Buffalo Narrows,YVT,CYVT,55.8419,-108.418
Wiarton Airport,Wiarton,YVV,CYVV,44.7458,-81.1072
Petawawa Airport,Petawawa,YWA,CYWA,45.9522,-77.3192
Winnipeg / James Armstrong Richardson International Airport,Winnipeg,YWG,CYWG,49.91,-97.2399
Wabush Airport,Wabush,YWK,CYWK,52.9219,-66.8644
Williams Lake Airport,Williams Lake,YWL,CYWL,52.1831,-122.054
Wrigley Airport,Wrigley,YWY,CYWY,63.2094,-123.437
Cranbrook/Canadian Rockies International Airport,Cranbrook,YXC,CYXC,49.6108,-115.782
Edmonton City Centre (Blatchford Field) Airport,Edmonton,YXD,CYXD,53.5725,-113.521
Saskatoon John G. Diefenbaker International Airport,Saskatoon,YXE,CYXE,52.1708,-106.7
Medicine Hat Airport,Medicine Hat,YXH,CYXH,50.0189,-110.721
Fort St John Airport,Fort Saint John,YXJ,CYXJ,56.2381,-120.74
Sioux Lookout Airport,Sioux Lookout,YXL,CYXL,50.1139,-91.9053
Pangnirtung Airport,Pangnirtung,YXP,CYXP,66.145,-65.7136
Earlton (Timiskaming Regional) Airport,Earlton,YXR,CYXR,47.6974,-79.8473
Prince George Airport,Prince George,YXS,CYXS,53.8894,-122.679
Northwest Regional Airport Terrace-Kitimat,Terrace,YXT,CYXT,54.4685,-128.576
London Airport,London,YXU,CYXU,43.0356,-81.1539
Abbotsford Airport,Abbotsford,YXX,CYXX,49.0253,-122.361
Whitehorse / Erik Nielsen International Airport,Whitehorse,YXY,CYXY,60.7096,-135.067
North Bay Airport,North Bay,YYB,CYYB,46.3636,-79.4228
Calgary International Airport,Calgary,YYC,CYYC,51.1139,-114.02
Smithers Airport,Smithers,YYD,CYYD,54.8247,-127.183
Fort Nelson Airport,Fort Nelson,YYE,CYYE,58.8364,-122.597
Penticton Airport,Penticton,YYF,CYYF,49.4631,-119.602
Charlottetown Airport,Charlottetown,YYG,CYYG,46.29,-63.1211
Taloyoak Airport,Spence Bay,YYH,CYYH,69.5467,-93.5767
Victoria International Airport,Victoria,YYJ,CYYJ,48.6469,-123.426
Lynn Lake Airport,Lynn Lake,YYL,CYYL,56.8639,-101.076
Swift Current Airport,Swift Current,YYN,CYYN,50.2919,-107.691
Churchill Airport,Churchill,YYQ,CYYQ,58.7392,-94.065
Goose Bay Airport,Goose Bay,YYR,CYYR,53.3192,-60.4258
St. John's International Airport,St. John's,YYT,CYYT,47.6186,-52.7519
Kapuskasing Airport,Kapuskasing,YYU,CYYU,49.4139,-82.4675
Armstrong Airport,Armstrong,YYW,CYYW,50.2903,-88.9097
Mont Joli Airport,Mont Joli,YYY,CYYY,48.6086,-68.2081
Lester B. Pearson International Airport,Toronto,YYZ,CYYZ,43.6772,-79.6306
Downsview Airport,Toronto,YZD,CYZD,43.7425,-79.4656
Gore Bay Manitoulin Airport,Gore Bay,YZE,CYZE,45.8853,-82.5678
Yellowknife Airport,Yellowknife,YZF,CYZF,62.4628,-114.44
Slave Lake Airport,Slave Lake,YZH,CYZH,55.2931,-114.777
Sandspit Airport,Sandspit,YZP,CYZP,53.2543,-131.814
Chris Hadfield Airport,Sarnia,YZR,CYZR,42.9994,-82.3089
Port Hardy Airport,Port Hardy,YZT,CYZT,50.6806,-127.367
Whitecourt Airport,Whitecourt,YZU,CYZU,54.1439,-115.787
Sept-Îles Airport,Sept-iles,YZV,CYZV,50.2233,-66.2656
Teslin Airport,Teslin,YZW,CYZW,60.1728,-132.743
CFB Greenwood,Greenwood,YZX,CYZX,44.9844,-64.9169
Faro Airport,Faro,ZFA,CZFA,62.2075,-133.376
Fort Mcpherson Airport,Fort Mcpherson,ZFM,CZFM,67.4075,-134.861
Ekati Airport,Ekati,YOA,CYOA,64.6989,-110.615
Victoria Harbour Seaplane Base,Victoria,YWH,CYWH,48.425,-123.3889
Coal Harbour Seaplane Base,Vancouver,,CAQ3,50.6,-127.583
Aklavik/Freddie Carmichael Airport,Aklavik,LAK,CYKD,68.2233,-135.006
Déline Airport,Deline,YWJ,CYWJ,65.2111,-123.436
Tulita Airport,Tulita,ZFN,CZFN,64.9097,-125.573
Fort Good Hope Airport,Fort Good Hope,YGH,CYGH,66.2408,-128.651
Paulatuk (Nora Aliqatchialuk Ruben) Airport,Paulatuk,YPC,CYPC,69.3608,-124.0755
Whistler/Green Lake Water Aerodrome,Whistler,YWS,CAE5,50.1436,-122.949
Anahim Lake Airport,Anahim Lake,YAA,CAJ4,52.4525,-125.303
Williams Harbour Airport,Williams Harbour,YWM,CCA6,52.5669,-55.7847
St. Lewis (Fox Harbour) Airport,St. Lewis,YFX,CCK4,52.3728,-55.6739
Port Hope Simpson Airport,Port Hope Simpson,YHA,CCP4,52.5281,-56.2861
Rigolet Airport,Rigolet,YRG,CCZ2,54.1797,-58.4575
Colville Lake Airport,Colville Lake,YCK,CEB3,67.0392,-126.08
Whatì Airport,Whatì,YLE,CEM3,63.1317,-117.246
Summer Beaver Airport,Summer Beaver,SUR,CJV7,52.7086,-88.5419
Wapekeka Airport,Angling Lake,YAX,CKB6,53.8492,-89.5794
Wunnumin Lake Airport,Wunnumin Lake,WNN,CKL3,52.8939,-89.2892
North Spirit Lake Airport,North Spirit Lake,YNO,CKQ3,52.49,-92.9711
Bearskin Lake Airport,Bearskin Lake,XBE,CNE3,53.9656,-91.0272
Kingfisher Lake Airport,Kingfisher Lake,KIF,CNM5,53.0125,-89.8553
Ogoki Post Airport,Ogoki Post,YOG,CNT3,51.6586,-85.9017
Poplar Hill Airport,Poplar Hill,YHP,CPV7,52.1133,-94.2556
Chisasibi Airport,Chisasibi,YKU,CSU2,53.8056,-78.9169
Tête-à-la-Baleine Airport,Tête-à-la-Baleine,ZTB,CTB6,50.6744,-59.3836
La Tabatière Airport,La Tabatière,ZLT,CTU5,50.8308,-58.9756
Cat Lake Airport,Cat Lake,YAC,CYAC,51.7272,-91.8244
Fort Frances Municipal Airport,Fort Frances,YAG,CYAG,48.6542,-93.4397
Kasabonika Airport,Kasabonika,XKS,CYAQ,53.5247,-88.6428
Kangirsuk Airport,Kangirsuk,YKG,CYAS,60.0272,-69.9992
Attawapiskat Airport,Attawapiskat,YAT,CYAT,52.9275,-82.4319
Lac Du Bonnet Airport,Lac Du Bonnet,,CYAX,50.2944,-96.01
Uranium City Airport,Uranium City,YBE,CYBE,59.5614,-108.481
Lourdes de Blanc Sablon Airport,Lourdes-De-Blanc-Sablon,YBX,CYBX,51.4436,-57.1853
Cartwright Airport,Cartwright,YRF,CYCA,53.6828,-57.0419
Chesterfield Inlet Airport,Chesterfield Inlet,YCS,CYCS,63.3469,-90.7311
Nain Airport,Nain,YDP,CYDP,56.5492,-61.6803
Fort Severn Airport,Fort Severn,YER,CYER,56.0189,-87.6761
Fort Albany Airport,Fort Albany,YFA,CYFA,52.2014,-81.6969
Fort Hope Airport,Fort Hope,YFH,CYFH,51.5619,-87.9078
Makkovik Airport,Makkovik,YMN,CYFT,55.0769,-59.1864
Texada Gillies Bay Airport,Texada,YGB,CYGB,49.6942,-124.518
Gods Lake Narrows Airport,Gods Lake Narrows,YGO,CYGO,54.5589,-94.4914
Igloolik Airport,Igloolik,YGT,CYGT,69.3647,-81.8161
Kuujjuarapik Airport,Kuujjuarapik,YGW,CYGW,55.2819,-77.7653
Gillam Airport,Gillam,YGX,CYGX,56.3575,-94.7106
Grise Fiord Airport,Grise Fiord,YGZ,CYGZ,76.4261,-82.9092
Quaqtaq Airport,Quaqtaq,YQC,CYHA,61.0464,-69.6178
Vancouver Harbour Water Aerodrome,Vancouver,CXH,CYHC,49.2944,-123.111
Nemiscau Airport,Nemiscau,YNS,CYHH,51.6911,-76.1356
Hopedale Airport,Hopedale,YHO,CYHO,55.4483,-60.2286
Chevery Airport,Chevery,YHR,CYHR,50.4689,-59.6367
Ivujivik Airport,Ivujivik,YIK,CYIK,62.4173,-77.9253
Island Lake Airport,Island Lake,YIV,CYIV,53.8572,-94.6536
Akulivik Airport,Akulivik,AKV,CYKO,60.8186,-78.1486
Waskaganish Airport,Waskaganish,YKQ,CYKQ,51.4733,-78.7583
Aupaluk Airport,Aupaluk,YPJ,CYLA,59.2967,-69.5997
Kimmirut Airport,Kimmirut,YLC,CYLC,62.85,-69.8833
Lansdowne House Airport,Lansdowne House,YLH,CYLH,52.1956,-87.9342
St Georges Airport,Lutselk'e,YSG,CYSG,46.0964,-70.7147
Kangiqsualujjuaq (Georges River) Airport,Kangiqsualujjuaq,XGR,CYLU,58.7114,-65.9928
Mary's Harbour Airport,Mary's Harbour,YMH,CYMH,52.3028,-55.8472
Chapais Airport,Chibougamau,YMT,CYMT,49.7719,-74.5281
Umiujaq Airport,Umiujaq,YUD,CYMU,56.5361,-76.5183
Wemindji Airport,Wemindji,YNC,CYNC,53.0106,-78.8311
Norway House Airport,Norway House,YNE,CYNE,53.9583,-97.8442
Points North Landing Airport,Points North Landing,YNL,CYNL,58.2767,-104.082
Oxford House Airport,Oxford House,YOH,CYOH,54.9333,-95.2789
Inukjuak Airport,Inukjuak,YPH,CYPH,58.4719,-78.0769
Pikangikum Airport,Pikangikum,YPM,CYPM,51.8197,-93.9733
Peawanuck Airport,Peawanuck,YPO,CYPO,54.9881,-85.4433
Powell River Airport,Powell River,YPW,CYPW,49.8342,-124.5
The Pas Airport,The Pas,YQD,CYQD,53.9714,-101.091
Nakina Airport,Nakina,YQN,CYQN,50.1828,-86.6964
Rae Lakes Airport,Gamètì,YRA,CYRA,64.1161,-117.31
Red Lake Airport,Red Lake,YRL,CYRL,51.0669,-93.7931
Stony Rapids Airport,Stony Rapids,YSF,CYSF,59.2503,-105.841
Sanikiluaq Airport,Sanikiluaq,YSK,CYSK,56.5378,-79.2467
St. Theresa Point Airport,St. Theresa Point,YST,CYST,53.8456,-94.8519
Big Trout Lake Airport,Big Trout Lake,YTL,CYTL,53.8178,-89.8969
Deer Lake Airport,Deer Lake,YVZ,CYVZ,52.6558,-94.0614
Webequie Airport,Webequie,YWP,CYWP,52.9594,-87.3749
Whale Cove Airport,Whale Cove,YXN,CYXN,62.24,-92.5981
Salluit Airport,Salluit,YZG,CYZG,62.1794,-75.6672
York Landing Airport,York Landing,ZAC,CZAC,56.0894,-96.0892
Ilford Airport,Ilford,ILF,CZBD,56.0614,-95.6139
Bathurst Airport,Bathurst,ZBF,CZBF,47.6297,-65.7389
Eastmain River Airport,Eastmain River,ZEM,CZEM,52.2264,-78.5225
Fond-Du-Lac Airport,Fond-Du-Lac,ZFD,CZFD,59.3344,-107.182
Gods River Airport,Gods River,ZGI,CZGI,54.8397,-94.0786
Swan River Airport,Swan River,ZJN,CZJN,52.1206,-101.236
Kashechewan Airport,Kashechewan,ZKE,CZKE,52.2825,-81.6778
Muskrat Dam Airport,Muskrat Dam,MSA,CZMD,53.4414,-91.7628
Masset Airport,Masset,ZMT,CZMT,54.0275,-132.125
Sachigo Lake Airport,Sachigo Lake,ZPB,CZPB,53.8911,-92.1964
Round Lake (Weagamow Lake) Airport,Round Lake,ZRJ,CZRJ,52.9436,-91.3128
Sandy Lake Airport,Sandy Lake,ZSJ,CZSJ,53.0642,-93.3444
Shamattawa Airport,Shamattawa,ZTM,CZTM,55.8656,-92.0814
Churchill Falls Airport,Churchill Falls,ZUM,CZUM,53.5619,-64.1064
Wollaston Lake Airport,Wollaston Lake,ZWL,CZWL,58.1069,-103.172
Puvirnituq Airport,Puvirnituq,YPX,CYPX,60.0506,-77.2869
Tasiujaq Airport,Tasiujaq,YTQ,CYTQ,58.6678,-69.9558
Bella Coola Airport,Bella Coola,QBC,CYBD,52.3875,-126.596
Bonaventure Airport,Bonaventure,YVB,CYVB,48.0711,-65.4603
St Augustin Airport,St-Augustin,YIF,CYIF,51.2117,-58.6583
Prince Rupert/Seal Cove Seaplane Base,Prince Rupert,ZSW,CZSW,54.3333,-130.283
Berens River Airport,Berens River,YBV,CYBV,52.3589,-97.0183
Seaplane Base,Port Simpson,YPI,CYPI,54.5667,-130.4333
La Macaza / Mont-Tremblant International Inc Airport,Mont-Tremblant,YTM,CYFJ,46.4094,-74.78
Natuashish Airport,Natuashish,,CNH2,55.9139,-61.1844
Postville Airport,Postville,YSO,CCD4,54.9105,-59.7851
Kangiqsujuaq (Wakeham Bay) Airport,Kangiqsujuaq,YWB,CYKG,61.5886,-71.9294
Alma Airport,Alma,YTF,CYTF,48.5089,-71.6419
Havre St Pierre Airport,Havre-Saint-Pierre,YGV,CYGV,50.2819,-63.6114
Rimouski Airport,Rimouski,YXK,CYXK,48.4781,-68.4969
Tadoule Lake Airport,Tadoule Lake,XTL,CYBQ,58.7061,-98.5122
Lac Brochet Airport,Lac Brochet,XLB,CZWH,58.6175,-101.469
South Indian Lake Airport,South Indian Lake,XSI,CZSN,56.7928,-98.9072
Brochet Airport,Brochet,YBT,CYBT,57.8894,-101.679
Little Grand Rapids Airport,Little Grand Rapids,ZGR,CZGR,52.0456,-95.4658
Cross Lake (Charlie Sinclair Memorial) Airport,Cross Lake,YCR,CYCR,54.6106,-97.7608
Red Sucker Lake Airport,Red Sucker Lake,YRS,CYRS,54.1672,-93.5572
Rainbow Lake Airport,Rainbow Lake,YOP,CYOP,58.4914,-119.408
Bonnyville Airport,Bonnyville,YBY,CYBF,54.3042,-110.744
Nanaimo Harbour Water Airport,Nanaimo,ZNA,CAC8,49.1833,-123.95
Ganges Seaplane Base,Ganges,YGG,CAX6,48.8545,-123.4969
Qualicum Beach Airport,Qualicum Beach,XQU,,49.3372,-124.3939
Fort St James Airport,Fort St. James,YJM,CYJM,54.3972,-124.263
Boundary Bay Airport,Boundary Bay,YDT,CZBB,49.0742,-123.012
Langley Airport,Langley Township,,CYNJ,49.1008,-122.631
Denny Island Airport,Bella Bella,ZEL,CYJQ,52.1397,-128.064
Sechelt Aerodrome,Sechelt-Gibsons,YHS,,49.4606,-123.7186
Wekweètì Airport,Wekweeti,YFJ,CFJ2,64.1908,-114.077
Yarmouth Airport,Yarmouth,YQI,CYQI,43.8269,-66.0881
Burlington Executive,Burlington,,CZBA,43.4415,-79.8501
Waterville / Kings County Municipal Airport,Waterville,,CCW3,45.0519,-64.6517
Brampton Airport,Brampton,,CNC3,43.7603,-79.875
Oshawa Airport,Oshawa,YOO,CYOO,43.9228,-78.895
Mackenzie Airport,Mackenzie British Columbia,YZY,CYZY,55.3044,-123.132
Calgary / Springbank Airport,Calgary,,CYBW,51.1031,-114.374
Golden Airport,Golden,YGE,CYGE,51.2992,-116.982
Revelstoke Airport,Revelstoke,YRV,CYRV,50.9667,-118.183
Pembroke Airport,Pembroke,YTA,CYTA,45.8644,-77.2517
Suffield Heliport,Suffield,YSD,CYSD,50.2667,-111.183
Big Bay Water Aerodrome,Big Bay,YRR,,50.4,-125.1333
Cornwall Regional Airport,Cornwall,YCC,CYCC,45.0928,-74.5633
La Romaine Airport,La Romaine,,CTT5,50.2597,-60.6794
Kegaska Airport,Kegaska,ZKG,CTK6,50.1958,-61.2658
Black Tickle Airport,Black Tickle,YBI,CCE4,53.4694,-55.785
Trail Airport,Trail,YZZ,CAD4,49.0556,-117.609
Victoria Airport,Patricia Bay,,CAP5,48.6539,-123.4505
Old Arctic Bay Airport,Arctic Bay,YAB,CJX7,73.0059,-85.0325
Hope Bay Aerodrome,Hope Bay,,CHB3,68.1639,-106.6144
Keewaywin Airport,Keewaywin,KEW,CPV8,52.9911,-92.8364
Marathon Airport,Marathon,YSP,CYSP,48.7553,-86.3444
Hearst René Fontaine Municipal Airport,Hearst,YHF,CYHF,49.7142,-83.6861
Hornepayne Municipal Airport,Hornepayne,YHN,CYHN,49.1931,-84.7589
Kirkland Lake Airport,Kirkland Lake,YKX,CYKX,48.2103,-79.9814
Manitouwadge Airport,Manitouwadge,YMG,CYMG,49.0839,-85.8606
Wawa Airport,Wawa,YXZ,CYXZ,47.9667,-84.7867
Manitoulin East Municipal Airport,Manitowaning,YEM,CYEM,45.8428,-81.8581
Slate Falls Airport,Slate Falls,,CKD9,51.13,-91.6656
Collingwood Airport,Collingwood,,CNY3,44.4492,-80.1583
Brantford Municipal Airport,Brantford,YFD,CYFD,43.1314,-80.3425
One Hundred Mile House Airport,One Hundred Mile House,,CAV3,51.6425,-121.307
South Cariboo Region / 108 Mile Airport,108 Mile Ranch,ZML,CZML,51.7361,-121.333
Gimli Industrial Park Airport,Gimli,YGM,CYGM,50.6281,-97.0433
Matheson Island Airport,Matheson Island,,CJT2,51.7322,-96.9344
Bob Quinn Lake Airport,Bob Quinn Lake,YBO,CBW4,56.9667,-130.25
All Airports,Montreal,YMQ,,45.5086,-73.5539
All Airports,Toronto,YTO,,43.6531,-79.3831
Trois-Rivières Airport,Trois Rivieres,YRQ,CYRQ,46.3528,-72.6794
Bogande Airport,Bogande,XBG,,48.3295,-70.9957
Albian Aerodrome,Wood Buffalo,JHL,,57.2239,-111.4189
Bromont (Roland Desourdy) Airport,Bromont,ZBM,CZBM,45.2908,-72.7414
Fort McMurray - Mildred Lake Airport,Fort McMurray,NML,,57.0556,-111.574
Cochrane Airport,Cochrane,YCN,CYCN,49.1056,-81.0136
Barrie-Orillia (Lake Simcoe Regional Airport),Barrie-Orillia,YLK,CYLS,44.4853,-79.5556
Huronia Airport,Midland,YEE,CYEE,44.6833,-79.9283
Markham Airport,Markham,NU8,CNU8,43.9358,-79.2622
Stanhope Municipal Airport,Haliburton,ND4,CND4,45.1108,-78.64
Lindsay Airport,Lindsay,NF4,CNF4,44.3647,-78.7839
Niagara District Airport,Saint Catherines,YCM,CYSN,43.1917,-79.1717
Edenvale Aerodrome,Edenvale,,CNV8,44.4411,-79.9628
Orillia Airport,Orillia,,CNJ4,44.6777,-79.3102
Holland Landing Airpark,Holland Landing,,CLA4,44.0894,-79.495
Parry Sound Area Municipal Airport,Parry Sound,YPD,CNK4,45.2575,-79.8297
Hanover / Saugeen Municipal Airport,Hanover,,CYHS,44.1583,-81.0628
Pender Harbour Water Aerodrome,Pender Harbour,YPT,,49.6167,-124.0167
Mansons Landing Water Aerodrome,Mansons Landing,YMU,,50.0667,-124.9833
Port McNeill Airport,Port McNeill,YMP,,50.5756,-127.0286
Sullivan Bay Water Aerodrome,Sullivan Bay,YTG,,50.8833,-126.8333
Klemtu Airport,Klemtu,YKT,,52.5833,-128.5333
Wekweeti Airport,Wekweeti,,CYWE,64.1917,-114.0789
Bedwell Harbour Seaplane Base,Bedwell Harbour,YBW,CAB3,48.75,-123.233
Elliot Lake Municipal Airport,ELLIOT LAKE,YEL,CYEL,46.3514,-82.5614
Gratiot Community Airport,Kamloops,,KAMN,43.3221,-84.688
Dunnville Airport,Dunnville,DU9,CDU9,42.8722,-79.5958
Lupin Mine Airport,Lupin Mine,YWO,CYWO,65.7592,-111.25
Fort Mackay / Horizon Airport,Wood Buffalo,HZP,CYNR,57.3817,-111.701
Canmore Municipal Heliport,Canmore,,CEW9,51.0778,-115.338
Banff Airport,Banff,YBA,CYBA,51.2073,-115.5419
Drumheller Municipal Airport,Drumheller,,CEG4,51.4964,-112.749
Hinton/Jasper-Hinton Airport,Hinton,,CEC4,53.3192,-117.753
Kenora Seaplane Base,Kenora,,CJM9,49.7674,-94.4927
Opapimiskan Lake Airport,Musselwhite Mine,KM8,CKM8,52.6067,-90.3769
Squamish Airport,Squamish,YSE,CYSE,49.7817,-123.162
La Grande-4 Airport,La Grande-4,YAH,CYAH,53.7547,-73.6753
Alert Bay Airport,Alert Bay,YAL,CYAL,50.5822,-126.916
Liverpool South Shore Regional Airport,Liverpool,,CYAU,44.2303,-64.8561
Nipawin Airport,Nipawin,YBU,CYBU,53.3325,-104.008
James T. Field Memorial Aerodrome,Centralia,YCE,CYCE,43.2856,-81.5083
Blue River Airport,Blue River,YCP,CYCP,52.1167,-119.283
Chetwynd Airport,Chetwynd,YCQ,CYCQ,55.6872,-121.627
Ross River Airport,Ross River,XRR,CYDM,61.9706,-132.423
Dolbeau St Felicien Airport,Dolbeau-St-Félicien,YDO,CYDO,48.7785,-72.375
Amos Magny Airport,Amos,YEY,CYEY,48.5639,-78.2497
Goderich Airport,Goderich,YGD,CYGD,43.7669,-81.7106
Hope Airport,Hope,YHE,CYHE,49.3683,-121.498
Haines Junction Airport,Haines Junction,YHT,CYHT,60.7892,-137.546
Digby / Annapolis Regional Airport,Digby,YDG,CYID,44.5458,-65.7854
Fort Liard Airport,Fort Liard,YJF,CYJF,60.2358,-123.469
Key Lake Airport,Key Lake,YKJ,CYKJ,57.2561,-105.618
Leaf Rapids Airport,Leaf Rapids,YLR,CYLR,56.5133,-99.9853
Matane Airport,Matane,YME,CYME,48.8569,-67.4533
Charlevoix Airport,Charlevoix,YML,CYML,47.5975,-70.2239
Nejanilini Lake Airport,Nejanilini Lake,,CYNN,59.4875,-97.7803
Owen Sound / Billy Bishop Regional Airport,Owen Sound,YOS,CYOS,44.5903,-80.8375
Port Hawkesbury Airport,Port Hawkesbury,YPS,CYPD,45.6567,-61.3681
St Thomas Municipal Airport,St Thomas,YQS,CYQS,42.77,-81.1108
Ottawa / Rockcliffe Airport,Ottawa,YRO,CYRO,45.4603,-75.6461
Ottawa / Carp Airport,Ottawa,YRP,CYRP,45.3192,-76.0222
Smiths Falls-Montague (Russ Beach) Airport,Smiths Falls,YSH,CYSH,44.9458,-75.9406
St Leonard Airport,St Leonard,YSL,CYSL,47.1575,-67.8347
Virden/R.J. (Bob) Andrew Field Regional Aerodrome,Virden,YVD,CYVD,49.8783,-100.918
Vernon Airport,Vernon,YVE,CYVK,50.2481,-119.331
Beaver Creek Airport,Beaver Creek,YXQ,CYXQ,62.4103,-140.867
Salmon Arm Airport,Salmon Arm,YSN,CZAM,50.6828,-119.229
Kelsey Airport,Kelsey,KES,CZEE,56.0375,-96.5097
Pukatawagan Airport,Pukatawagan,XPK,CZFG,55.7492,-101.266
Grand Forks Airport,Grand Forks,ZGF,CZGF,49.0156,-118.431
Jenpeg Airport,Jenpeg,ZJG,CZJG,54.5189,-98.0461
Thicket Portage Airport,Thicket Portage,YTD,CZLQ,55.3189,-97.7078
Pikwitonei Airport,Pikwitonei,PIW,CZMN,55.5889,-97.1642
Poplar River Airport,Poplar River,XPP,CZNG,52.9965,-97.2742
Pincher Creek Airport,Pincher Creek,WPC,CZPC,49.5206,-113.997
Stewart Airport,Stewart,ZST,CZST,55.9354,-129.9824
Ignace Municipal Airport,Ignace,ZUC,CZUC,49.4297,-91.7178
Vancouver International Water Airport,Vancouver,,CAM9,49.183,-123.167
Port Washington Water Aerodrome,Port Washington,,CAP8,48.817,-123.317
Amílcar Cabral International Airport,Amilcar Cabral,SID,GVAC,16.7414,-22.9494
Rabil Airport,Boa Vista,BVC,GVBA,16.1365,-22.8889
Maio Airport,Maio,MMO,GVMA,15.1559,-23.2137
